subject,PCR,uniqueseq,count,freq
25,F3F_S1R,F3F_S1R.4,295,26.9160583941606
26,F3F_S1R,F3F_S1R.4,1,0.0135135135135135
27,F3F_S1R,F3F_S1R.4,0,0
28,F3F_S1R,F3F_S1R.4,1534,24.4969658256148
29,F3F_S1R,F3F_S1R.4,638,24.4538137217325
30,F3F_S1R,F3F_S1R.4,936,26.410835214447
31,F3F_S1R,F3F_S1R.4,1838,16.0678380977358
32,F3F_S1R,F3F_S1R.4,703,24.6839887640449
34,F3F_S1R,F3F_S1R.4,1321,24.544778892605
36,F3F_S1R,F3F_S1R.4,498,23.1305155596842
37,F3F_S1R,F3F_S1R.4,1,0.0176740897843761
38,F3F_S1R,F3F_S1R.4,0,0
39,F3F_S1R,F3F_S1R.4,717,23.8840772818121
4,F3F_S1R,F3F_S1R.4,2076,24.3576205561422
40,F3F_S1R,F3F_S1R.4,232,17.096536477524
42,F3F_S1R,F3F_S1R.4,0,0
44,F3F_S1R,F3F_S1R.4,658,24.2714865363335
45,F3F_S1R,F3F_S1R.4,0,0
46,F3F_S1R,F3F_S1R.4,690,16.0315985130112
47,F3F_S1R,F3F_S1R.4,649,24.5647236941711
48,F3F_S1R,F3F_S1R.4,325,15.9235668789809
49,F3F_S1R,F3F_S1R.4,5,20
5,F3F_S1R,F3F_S1R.4,1268,27.2103004291846
50,F3F_S1R,F3F_S1R.4,616,25.2148997134671
51,F3F_S1R,F3F_S1R.4,437,15.9489051094891
52,F3F_S1R,F3F_S1R.4,1126,23.7002736266049
53,F3F_S1R,F3F_S1R.4,2191,24.7822644497229
54,F3F_S1R,F3F_S1R.4,1,0.0363636363636364
55,F3F_S1R,F3F_S1R.4,526,25.5463817387081
56,F3F_S1R,F3F_S1R.4,1,0.032499187520312
57,F3F_S1R,F3F_S1R.4,1736,49.402390438247
58,F3F_S1R,F3F_S1R.4,676,16.4396887159533
59,F3F_S1R,F3F_S1R.4,407,23.3908045977012
6,F3F_S1R,F3F_S1R.4,0,0
60,F3F_S1R,F3F_S1R.4,1360,23.763760265595
61,F3F_S1R,F3F_S1R.4,0,0
62,F3F_S1R,F3F_S1R.4,771,24.6090009575487
63,F3F_S1R,F3F_S1R.4,1,0.0351370344342937
66,F3F_S1R,F3F_S1R.4,1,0.0160849284220685
67,F3F_S1R,F3F_S1R.4,0,0
68,F3F_S1R,F3F_S1R.4,460,10.6530801296897
69,F3F_S1R,F3F_S1R.4,364,15.5223880597015
7,F3F_S1R,F3F_S1R.4,1161,16.7098445595855
70,F3F_S1R,F3F_S1R.4,1459,17.72351797862
71,F3F_S1R,F3F_S1R.4,2,0.0368663594470046
72,F3F_S1R,F3F_S1R.4,0,0
73,F3F_S1R,F3F_S1R.4,0,0
74,F3F_S1R,F3F_S1R.4,2,0.0314317146000314
75,F3F_S1R,F3F_S1R.4,1,0.00875886835420864
76,F3F_S1R,F3F_S1R.4,1272,24.4380403458213
77,F3F_S1R,F3F_S1R.4,1,0.0587199060481503
78,F3F_S1R,F3F_S1R.4,2,0.0370713623725672
79,F3F_S1R,F3F_S1R.4,874,12.1490130664443
8,F3F_S1R,F3F_S1R.4,1466,24.0406690718268
80,F3F_S1R,F3F_S1R.4,1453,25.840298772897
81,F3F_S1R,F3F_S1R.4,1,0.0244319569997557
82,F3F_S1R,F3F_S1R.4,3,0.029800337737161
84,F3F_S1R,F3F_S1R.4,485,16.3464779238288
85,F3F_S1R,F3F_S1R.4,0,0
87,F3F_S1R,F3F_S1R.4,795,16.5659512398416
90,F3F_S1R,F3F_S1R.4,0,0
91,F3F_S1R,F3F_S1R.4,1,0.021079258010118
92,F3F_S1R,F3F_S1R.4,0,0
93,F3F_S1R,F3F_S1R.4,1,0.0242306760358614
95,F3F_S1R,F3F_S1R.4,779,25.2512155591572
10,F3F_S1R,F3F_S1R.5,722,15.8194566170026
12,F3F_S1R,F3F_S1R.5,2,0.0404367165386171
13,F3F_S1R,F3F_S1R.5,0,0
15,F3F_S1R,F3F_S1R.5,5,0.0816193274567418
16,F3F_S1R,F3F_S1R.5,1,0.0196734212079481
17,F3F_S1R,F3F_S1R.5,3,0.192431045542014
18,F3F_S1R,F3F_S1R.5,4,0.0364066624192227
19,F3F_S1R,F3F_S1R.5,2,0.0190114068441065
2,F3F_S1R,F3F_S1R.5,0,0
20,F3F_S1R,F3F_S1R.5,1184,24.7388215628918
21,F3F_S1R,F3F_S1R.5,0,0
23,F3F_S1R,F3F_S1R.5,2945,24.0820999264045
24,F3F_S1R,F3F_S1R.5,365,16.3530465949821
25,F3F_S1R,F3F_S1R.5,1,0.0912408759124088
26,F3F_S1R,F3F_S1R.5,0,0
27,F3F_S1R,F3F_S1R.5,767,16.4804469273743
28,F3F_S1R,F3F_S1R.5,1,0.0159693388693708
29,F3F_S1R,F3F_S1R.5,0,0
30,F3F_S1R,F3F_S1R.5,0,0
31,F3F_S1R,F3F_S1R.5,1978,17.2917213043098
32,F3F_S1R,F3F_S1R.5,0,0
34,F3F_S1R,F3F_S1R.5,1,0.0185804533630621
36,F3F_S1R,F3F_S1R.5,0,0
37,F3F_S1R,F3F_S1R.5,919,16.2424885118416
38,F3F_S1R,F3F_S1R.5,49,14.327485380117
39,F3F_S1R,F3F_S1R.5,0,0
4,F3F_S1R,F3F_S1R.5,1,0.0117329578786812
40,F3F_S1R,F3F_S1R.5,247,18.201915991157
42,F3F_S1R,F3F_S1R.5,0,0
44,F3F_S1R,F3F_S1R.5,0,0
45,F3F_S1R,F3F_S1R.5,0,0
46,F3F_S1R,F3F_S1R.5,734,17.0539033457249
47,F3F_S1R,F3F_S1R.5,0,0
48,F3F_S1R,F3F_S1R.5,333,16.3155316021558
49,F3F_S1R,F3F_S1R.5,1,4
5,F3F_S1R,F3F_S1R.5,1079,23.1545064377682
50,F3F_S1R,F3F_S1R.5,1,0.0409332787556283
51,F3F_S1R,F3F_S1R.5,456,16.6423357664234
52,F3F_S1R,F3F_S1R.5,1,0.0210482003788676
53,F3F_S1R,F3F_S1R.5,4,0.0452437507069336
54,F3F_S1R,F3F_S1R.5,1,0.0363636363636364
55,F3F_S1R,F3F_S1R.5,1,0.0485672656629432
56,F3F_S1R,F3F_S1R.5,492,15.9896002599935
57,F3F_S1R,F3F_S1R.5,1,0.0284575981787137
58,F3F_S1R,F3F_S1R.5,672,16.3424124513619
59,F3F_S1R,F3F_S1R.5,1,0.0574712643678161
6,F3F_S1R,F3F_S1R.5,1,0.0349772647778944
60,F3F_S1R,F3F_S1R.5,1,0.0174733531364669
61,F3F_S1R,F3F_S1R.5,0,0
62,F3F_S1R,F3F_S1R.5,0,0
63,F3F_S1R,F3F_S1R.5,489,17.1820098383696
66,F3F_S1R,F3F_S1R.5,1898,30.5291941450861
67,F3F_S1R,F3F_S1R.5,2785,33.1942789034565
68,F3F_S1R,F3F_S1R.5,887,20.5419175544233
69,F3F_S1R,F3F_S1R.5,374,15.9488272921109
7,F3F_S1R,F3F_S1R.5,0,0
70,F3F_S1R,F3F_S1R.5,1,0.0121477162293489
71,F3F_S1R,F3F_S1R.5,1381,25.4562211981567
72,F3F_S1R,F3F_S1R.5,0,0
73,F3F_S1R,F3F_S1R.5,786,16.7590618336887
74,F3F_S1R,F3F_S1R.5,769,12.0854942637121
75,F3F_S1R,F3F_S1R.5,1,0.00875886835420864
76,F3F_S1R,F3F_S1R.5,0,0
77,F3F_S1R,F3F_S1R.5,0,0
78,F3F_S1R,F3F_S1R.5,1384,25.6533827618165
79,F3F_S1R,F3F_S1R.5,0,0
8,F3F_S1R,F3F_S1R.5,1,0.0163988192850115
80,F3F_S1R,F3F_S1R.5,0,0
81,F3F_S1R,F3F_S1R.5,515,12.5824578548742
82,F3F_S1R,F3F_S1R.5,2,0.019866891824774
