subject,PCR,uniqueseq,value,freq
5,F3F_S1R,F3F_S1R.11,0,0
50,F3F_S1R,F3F_S1R.11,0,0
51,F3F_S1R,F3F_S1R.11,0,0
52,F3F_S1R,F3F_S1R.11,0,0
53,F3F_S1R,F3F_S1R.11,0,0
54,F3F_S1R,F3F_S1R.11,0,0
55,F3F_S1R,F3F_S1R.11,0,0
56,F3F_S1R,F3F_S1R.11,0,0
57,F3F_S1R,F3F_S1R.11,0,0
58,F3F_S1R,F3F_S1R.11,0,0
59,F3F_S1R,F3F_S1R.11,0,0
6,F3F_S1R,F3F_S1R.11,0,0
60,F3F_S1R,F3F_S1R.11,0,0
61,F3F_S1R,F3F_S1R.11,0,0
62,F3F_S1R,F3F_S1R.11,0,0
63,F3F_S1R,F3F_S1R.11,0,0
66,F3F_S1R,F3F_S1R.11,0,0
67,F3F_S1R,F3F_S1R.11,0,0
68,F3F_S1R,F3F_S1R.11,0,0
69,F3F_S1R,F3F_S1R.11,0,0
7,F3F_S1R,F3F_S1R.11,0,0
70,F3F_S1R,F3F_S1R.11,0,0
71,F3F_S1R,F3F_S1R.11,0,0
72,F3F_S1R,F3F_S1R.11,0,0
73,F3F_S1R,F3F_S1R.11,6613,93.9079806873047
74,F3F_S1R,F3F_S1R.11,0,0
75,F3F_S1R,F3F_S1R.11,0,0
76,F3F_S1R,F3F_S1R.11,0,0
77,F3F_S1R,F3F_S1R.11,0,0
78,F3F_S1R,F3F_S1R.11,0,0
79,F3F_S1R,F3F_S1R.11,0,0
8,F3F_S1R,F3F_S1R.11,0,0
80,F3F_S1R,F3F_S1R.11,0,0
81,F3F_S1R,F3F_S1R.11,0,0
82,F3F_S1R,F3F_S1R.11,0,0
84,F3F_S1R,F3F_S1R.11,0,0
85,F3F_S1R,F3F_S1R.11,0,0
87,F3F_S1R,F3F_S1R.11,5427,51.2900481996031
90,F3F_S1R,F3F_S1R.11,5224,52.1253242865696
91,F3F_S1R,F3F_S1R.11,0,0
92,F3F_S1R,F3F_S1R.11,0,0
93,F3F_S1R,F3F_S1R.11,0,0
95,F3F_S1R,F3F_S1R.11,0,0
10,F3F_S1R,F3F_S1R.13,0,0
12,F3F_S1R,F3F_S1R.13,0,0
13,F3F_S1R,F3F_S1R.13,5397,50.4864359214219
15,F3F_S1R,F3F_S1R.13,0,0
16,F3F_S1R,F3F_S1R.13,0,0
17,F3F_S1R,F3F_S1R.13,1486,51.2237159600138
18,F3F_S1R,F3F_S1R.13,1,100
19,F3F_S1R,F3F_S1R.13,0,0
2,F3F_S1R,F3F_S1R.13,0,0
20,F3F_S1R,F3F_S1R.13,0,0
21,F3F_S1R,F3F_S1R.13,0,0
23,F3F_S1R,F3F_S1R.13,0,0
24,F3F_S1R,F3F_S1R.13,0,0
25,F3F_S1R,F3F_S1R.13,0,0
26,F3F_S1R,F3F_S1R.13,0,0
27,F3F_S1R,F3F_S1R.13,0,0
28,F3F_S1R,F3F_S1R.13,0,0
29,F3F_S1R,F3F_S1R.13,0,0
30,F3F_S1R,F3F_S1R.13,0,0
31,F3F_S1R,F3F_S1R.13,0,0
32,F3F_S1R,F3F_S1R.13,0,0
34,F3F_S1R,F3F_S1R.13,0,0
36,F3F_S1R,F3F_S1R.13,0,0
37,F3F_S1R,F3F_S1R.13,0,0
38,F3F_S1R,F3F_S1R.13,0,0
39,F3F_S1R,F3F_S1R.13,0,0
4,F3F_S1R,F3F_S1R.13,0,0
40,F3F_S1R,F3F_S1R.13,0,0
42,F3F_S1R,F3F_S1R.13,2149,52.4146341463415
44,F3F_S1R,F3F_S1R.13,0,0
45,F3F_S1R,F3F_S1R.13,4216,53.3400809716599
46,F3F_S1R,F3F_S1R.13,0,0
47,F3F_S1R,F3F_S1R.13,0,0
48,F3F_S1R,F3F_S1R.13,0,0
49,F3F_S1R,F3F_S1R.13,0,0
5,F3F_S1R,F3F_S1R.13,0,0
50,F3F_S1R,F3F_S1R.13,0,0
51,F3F_S1R,F3F_S1R.13,0,0
52,F3F_S1R,F3F_S1R.13,0,0
53,F3F_S1R,F3F_S1R.13,0,0
54,F3F_S1R,F3F_S1R.13,2223,51.4464244387873
55,F3F_S1R,F3F_S1R.13,0,0
56,F3F_S1R,F3F_S1R.13,0,0
57,F3F_S1R,F3F_S1R.13,0,0
58,F3F_S1R,F3F_S1R.13,0,0
59,F3F_S1R,F3F_S1R.13,2164,49.8387839705205
6,F3F_S1R,F3F_S1R.13,0,0
60,F3F_S1R,F3F_S1R.13,0,0
61,F3F_S1R,F3F_S1R.13,6533,52.2598192144629
62,F3F_S1R,F3F_S1R.13,0,0
63,F3F_S1R,F3F_S1R.13,0,0
66,F3F_S1R,F3F_S1R.13,0,0
67,F3F_S1R,F3F_S1R.13,0,0
68,F3F_S1R,F3F_S1R.13,0,0
69,F3F_S1R,F3F_S1R.13,0,0
7,F3F_S1R,F3F_S1R.13,0,0
70,F3F_S1R,F3F_S1R.13,0,0
71,F3F_S1R,F3F_S1R.13,0,0
72,F3F_S1R,F3F_S1R.13,0,0
73,F3F_S1R,F3F_S1R.13,0,0
74,F3F_S1R,F3F_S1R.13,0,0
75,F3F_S1R,F3F_S1R.13,0,0
76,F3F_S1R,F3F_S1R.13,0,0
77,F3F_S1R,F3F_S1R.13,0,0
78,F3F_S1R,F3F_S1R.13,0,0
79,F3F_S1R,F3F_S1R.13,0,0
8,F3F_S1R,F3F_S1R.13,0,0
80,F3F_S1R,F3F_S1R.13,0,0
81,F3F_S1R,F3F_S1R.13,0,0
82,F3F_S1R,F3F_S1R.13,0,0
84,F3F_S1R,F3F_S1R.13,0,0
85,F3F_S1R,F3F_S1R.13,0,0
87,F3F_S1R,F3F_S1R.13,0,0
90,F3F_S1R,F3F_S1R.13,0,0
91,F3F_S1R,F3F_S1R.13,0,0
